Uses Octree;Spheres;Max Octree Depth;Min Spheres Per Node;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS;Octree Build Time
1;10;0;0;4;4;800;600;0.005423;0.0069735;0.00691291;143.4;184.4;144.835;3.1e-06
1;10;0;1;4;4;800;600;0.0046384;0.0070032;0.0068965;142.792;215.592;145.48;2.9e-06
1;10;1;0;4;4;800;600;0.0068813;0.0070085;0.00694368;142.684;145.321;144.017;1.39e-05
1;10;1;1;4;4;800;600;0.0068935;0.0069893;0.00694414;143.076;145.064;144.007;2.14e-05
1;10;2;0;4;4;800;600;0.0066931;0.0069762;0.00693861;143.345;149.408;144.125;3.45e-05
1;10;2;1;4;4;800;600;0.0068655;0.0070317;0.00694362;142.213;145.656;144.019;2.99e-05
1;10;3;0;4;4;800;600;0.0068767;0.0070146;0.0069439;142.56;145.419;144.013;6.38e-05
1;10;3;1;4;4;800;600;0.0059437;0.0069781;0.00692333;143.305;168.245;144.509;3e-05
1;10;4;0;4;4;800;600;0.0068918;0.0070013;0.00694329;142.831;145.1;144.025;0.000276
1;10;4;1;4;4;800;600;0.0064867;0.0070077;0.00693438;142.7;154.162;144.224;3.24e-05
1;10;5;0;4;4;800;600;0.0069144;0.0069746;0.00694364;143.377;144.626;144.017;0.0009946
1;10;5;1;4;4;800;600;0.0069156;0.0069672;0.00694385;143.53;144.601;144.013;2.68e-05
1;50;0;0;4;4;800;600;0.0068916;0.0070012;0.00694349;142.833;145.104;144.021;5.7e-06
1;50;0;1;4;4;800;600;0.0063928;0.0069784;0.0069329;143.299;156.426;144.261;5.8e-06
1;50;1;0;4;4;800;600;0.006913;0.0069825;0.00694371;143.215;144.655;144.016;3.65e-05
1;50;1;1;4;4;800;600;0.0049809;0.0069906;0.00690371;143.049;200.767;145.173;3.8e-05
1;50;2;0;4;4;800;600;0.0069101;0.0069757;0.00694373;143.355;144.716;144.015;8.88e-05
1;50;2;1;4;4;800;600;0.0065027;0.0069649;0.00693403;143.577;153.782;144.229;7.65e-05
1;50;3;0;4;4;800;600;0.0068084;0.0070334;0.00694089;142.179;146.877;144.076;0.0001725
1;50;3;1;4;4;800;600;0.0045627;0.0069795;0.00689497;143.277;219.168;145.553;0.0001733
1;50;4;0;4;4;800;600;0.0068555;0.0070288;0.00694366;142.272;145.868;144.018;0.0003936
1;50;4;1;4;4;800;600;0.0069137;0.0069815;0.00694343;143.236;144.64;144.022;0.0002026
1;50;5;0;4;4;800;600;0.0068925;0.0069918;0.00694364;143.025;145.085;144.017;0.0016172
1;50;5;1;4;4;800;600;0.0068701;0.0070218;0.00694405;142.414;145.558;144.009;0.0002
1;250;0;0;4;4;800;600;0.0119296;0.0163129;0.0141268;61.3012;83.8251;71.1299;1.72e-05
1;250;0;1;4;4;800;600;0.0117504;0.0170002;0.0142712;58.8228;85.1035;70.3292;2.32e-05
1;250;1;0;4;4;800;600;0.0053967;0.007007;0.00691232;142.714;185.298;144.855;0.0001566
1;250;1;1;4;4;800;600;0.006865;0.0070257;0.00694365;142.335;145.666;144.018;0.0001274
1;250;2;0;4;4;800;600;0.0068944;0.0069832;0.00694358;143.201;145.045;144.019;0.0003961
1;250;2;1;4;4;800;600;0.0065382;0.0069769;0.0069348;143.33;152.947;144.211;0.0003218
1;250;3;0;4;4;800;600;0.0068079;0.0070721;0.00694361;141.401;146.888;144.02;0.0005108
1;250;3;1;4;4;800;600;0.006906;0.006987;0.0069436;143.123;144.802;144.018;0.0006196
1;250;4;0;4;4;800;600;0.0087187;0.01182;0.00977626;84.6024;114.696;102.76;0.0009444
1;250;4;1;4;4;800;600;0.005802;0.0090871;0.0078482;110.046;172.354;128.423;0.0007693
1;250;5;0;4;4;800;600;0.0100071;0.0169216;0.0137219;59.0961;99.9291;73.5344;0.0025633
1;250;5;1;4;4;800;600;0.0069366;0.0092303;0.00790172;108.339;144.163;127.293;0.00096
1;500;0;0;4;4;800;600;0.0209806;0.0419792;0.0314985;23.8213;47.6631;31.9289;2.91e-05
1;500;0;1;4;4;800;600;0.0296588;0.0327095;0.0311342;30.5722;33.7168;32.1302;3.88e-05
1;500;1;0;4;4;800;600;0.0101406;0.0163725;0.0136446;61.078;98.6135;73.6837;0.0003509
1;500;1;1;4;4;800;600;0.0117377;0.0151224;0.0129742;66.1271;85.1956;77.4201;0.000241
1;500;2;0;4;4;800;600;0.0069264;0.0096661;0.00850539;103.454;144.375;118.169;0.0005932
1;500;2;1;4;4;800;600;0.0060657;0.0105597;0.0084672;94.6997;164.861;119.185;0.0005908
1;500;3;0;4;4;800;600;0.0082543;0.0101834;0.0089034;98.199;121.149;112.551;0.0011258
1;500;3;1;4;4;800;600;0.0079701;0.0100655;0.00869156;99.3493;125.469;115.416;0.0010197
1;500;4;0;4;4;800;600;0.0114468;0.0180818;0.0163848;55.3042;87.3607;61.2712;0.0021988
1;500;4;1;4;4;800;600;0.0107073;0.0184995;0.0158906;54.0555;93.3942;63.4009;0.0022769
1;500;5;0;4;4;800;600;0.0176185;0.025546;0.02367;39.1451;56.7585;42.3601;0.0053654
1;500;5;1;4;4;800;600;0.0165313;0.0212736;0.0185992;47.0066;60.4913;53.8672;0.0041198
1;1000;0;0;4;4;800;600;0.0656955;0.0707544;0.0675854;14.1334;15.2217;14.7995;7.56e-05
1;1000;0;1;4;4;800;600;0.0682506;0.0710985;0.0696688;14.065;14.6519;14.3551;5.36e-05
1;1000;1;0;4;4;800;600;0.0248713;0.0299014;0.0285303;33.4433;40.207;35.0785;0.0005362
1;1000;1;1;4;4;800;600;0.0211507;0.0284038;0.0268324;35.2066;47.2798;37.3388;0.0005257
1;1000;2;0;4;4;800;600;0.0086418;0.0140058;0.0120621;71.399;115.717;83.3288;0.0016192
1;1000;2;1;4;4;800;600;0.0065788;0.0140595;0.0118732;71.1263;152.003;85.6131;0.000964
1;1000;3;0;4;4;800;600;0.0099583;0.0128064;0.0112157;78.086;100.419;89.3851;0.0017025
1;1000;3;1;4;4;800;600;0.0100671;0.01243;0.0110197;80.4505;99.3335;91.0913;0.0017277
1;1000;4;0;4;4;800;600;0.0169736;0.0208145;0.0182278;48.0434;58.915;55.0247;0.0034226
1;1000;4;1;4;4;800;600;0.0119532;0.0191789;0.0164029;52.1406;83.6596;61.2759;0.0030029
1;1000;5;0;4;4;800;600;0.0250182;0.0277824;0.0265354;35.994;39.9709;37.7036;0.0076549
1;1000;5;1;4;4;800;600;0.0196966;0.0235721;0.0214156;42.423;50.7702;46.7633;0.00434
1;2000;0;0;4;4;800;600;0.135323;0.143668;0.138737;6.96049;7.38972;7.20921;0.0001067
1;2000;0;1;4;4;800;600;0.131265;0.1369;0.133593;7.30461;7.61816;7.48608;0.0001076
1;2000;1;0;4;4;800;600;0.0529261;0.0613676;0.0591159;16.2952;18.8943;16.9253;0.001089
1;2000;1;1;4;4;800;600;0.0585423;0.0634;0.0608741;15.7729;17.0817;16.4329;0.0012705
1;2000;2;0;4;4;800;600;0.0232934;0.025692;0.0243933;38.9226;42.9306;41.0157;0.0024844
1;2000;2;1;4;4;800;600;0.0240609;0.0277233;0.0257827;36.0707;41.5612;38.8132;0.0022588
1;2000;3;0;4;4;800;600;0.016137;0.0197737;0.0171379;50.5722;61.9694;58.4217;0.0036883
1;2000;3;1;4;4;800;600;0.0137094;0.0200114;0.0176836;49.9715;72.9427;56.7542;0.0038797
1;2000;4;0;4;4;800;600;0.0242391;0.0268904;0.0254503;37.188;41.2557;39.3102;0.0086326
1;2000;4;1;4;4;800;600;0.0213122;0.02466;0.0235613;40.5515;46.9215;42.4675;0.0087886
1;2000;5;0;4;4;800;600;0.031147;0.0385142;0.0370078;25.9644;32.1058;27.0482;0.0148005
1;2000;5;1;4;4;800;600;0.0313693;0.0395405;0.0378112;25.2905;31.8783;26.4709;0.0135578
